file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0481_0112_1339191_to_1342511,ཡ་ཡུད་གཙང་མ་ད་མི་འདུག་རཱ། དྲང་པོ་བཤད་ན་གད་སྙིགས་མང་པོ་ད་འདུག་ད། ཡིན་ན་ཡང་།  ,ya yud gtsang ma da mi 'dug rA/_drang po bshad na gad snyigs mang po da 'dug da/_yin na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0112_1339191_to_1342511.wav,STT_NS,3,76,3.32,wav16k/STT_NS_M0481_0112_1339191_to_1342511.wav,ཡ་ཡུད་གཙང་མ་ད་མི་འདུག་རཱ། དྲང་པོ་བཤད་ན་གད་སྙིགས་མང་པོ་ད་འདུག་ད་ཡིན་ན་ཡང་།།
STT_AB00275_0696_3963370_to_3968319,སེར་པོ་དག་ནི་གསེར་བཟང་པོའི་རྒྱན་གྱི་མདངས་ཀྱང་རག་གན་ལྟར་བྱེད་པ།  ,ser po dag ni gser bzang po'i rgyan gyi mdangs kyang rag gan ltar byed pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00275_0696_3963370_to_3968319.wav,STT_AB,3,64,4.949,wav16k/STT_AB00275_0696_3963370_to_3968319.wav,ཁྲེན་པོ་དག་ནི་གསྲན་བཟང་པོའི་རྒྱན་གྱིས་མདངས་ཀྱང་ར་གན་ལྟར་བྱེད་པ།
STT_NS_M0481_0117_1385418_to_1391032,ཨེ་ནས་སྒང་ནས་ད་རྒྱལ་ས་ཀ་ཅི་བྷེང་ལོར་རྒྱལ་ས་གི་གནམ་གཤིས་ད་ཡོད་བ་རྦད་དེ་ཁོ་རང་ད་ག་ལབ་དགོས་རེད།  ,e nas sgang nas da rgyal sa ka ci b+heng lor rgyal sa gi gnam gshis da yod ba rbad de kho rang da ga lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0117_1385418_to_1391032.wav,STT_NS,3,94,5.614,wav16k/STT_NS_M0481_0117_1385418_to_1391032.wav,ཨེ་ནས་སྒང་ནས་ད་རྒྱལ་ས་ཀ་ཅི་བྷེང་ལོར་རྒྱལ་ས་གི་གནམ་གཤིས་ད་ཡོད་བ་རྦད་དེ་ཁོ་རང་ད་ག་ལབ་དགོས་རེད།
STT_NS_M0481_0132_1491970_to_1500708,ད་ཆུང་ཆུང་སྐབས་སུ་ང་ཚོ་ད་ཟ་གི་ཡོད་རཱ་ད་ཨེ་འདྲའི་འདྲ་བོ་མང་པོ་ཙག་ག་ཙིག་གེ་མང་པོ་ཟ་ཡི་ཡོད་དུས་ཙམ་པ་ལ་སྒོར་མོ་བཅུ་འདྲ་བོ་དང་ཨེ་འདྲའི་འདྲ་བོ་མ་ཤས་མ་རེད་ཡོད་བ།  ,da chung chung skabs su nga tsho da za gi yod rA da e 'dra'i 'dra bo mang po tsag ga tsig ge mang po za yi yod dus tsam pa la sgor mo bcu 'dra bo dang e 'dra'i 'dra bo ma shas ma red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0132_1491970_to_1500708.wav,STT_NS,3,156,8.738,wav16k/STT_NS_M0481_0132_1491970_to_1500708.wav,ད་ཆུང་ཆུང་སྐབས་སུ་ང་ཚོ་ད་ཟ་གི་ཡོད་རཱ་ད་ཨེ་འདྲའི་འདྲ་བོ་མང་པོ་ཙག་གི་ཙིག་གི་མང་པོ་ཟ་གི་ཡོད་དུས་ཙམ་པ་ལ་སྒོར་མོ་བཅུ་འདྲ་བོ་དང་ཨེ་འདྲའི་འདྲ་བོ་མ་ཤས་མ་རེད་ཡོད་བ།
STT_NS_M0481_0135_1533785_to_1536095,ཟ་ཡ་ནང་ལོགས་བླུག་ཡ་དང་སྣ་ཁ་དང་སོགས་པ།  ,za ya nang logs blug ya dang sna kha dang sogs pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0135_1533785_to_1536095.wav,STT_NS,3,39,2.31,wav16k/STT_NS_M0481_0135_1533785_to_1536095.wav,ཟ་ཡ་ནང་ལོགས་བླུག་ཡ་དང་སྣ་ཁ་དང་ཟོགས་པ།
STT_NS_M0481_0136_1540020_to_1542481,ཡིན་ན་ཡང་གོང་དེ་སྤར་བཞག་ཡ་ཅིག་ཡོད་བ་ས་ཆ་ལ་དཔག་པའི།  ,yin na yang gong de spar bzhag ya cig yod ba sa cha la dpag pa'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0136_1540020_to_1542481.wav,STT_NS,3,52,2.461,wav16k/STT_NS_M0481_0136_1540020_to_1542481.wav,ཡིན་ན་ཡང་གོང་དེ་སྤར་བཞག་ཡ་ཅིག་ཡོད་བ་ས་ཆ་ལ་དཔག་བའི།
STT_NS_M0481_0126_1444718_to_1451083,དངུལ་ད་ག་ལབ་དགོས་རེད་ད་ཡ་ཡུད་ག་ཚོད་ག་ཚོད་ཁྱེར་ནས་འགྲོ་ན་ཡང་འདང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ཞིག་ཚོར་གི་འདུག་རཱ།  ,dngul da ga lab dgos red da ya yud ga tshod ga tshod khyer nas 'gro na yang 'dang ya med rgyo 'dra bo zhig tshor gi 'dug rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0126_1444718_to_1451083.wav,STT_NS,3,102,6.365,wav16k/STT_NS_M0481_0126_1444718_to_1451083.wav,དངུལ་ད་ག་ལབ་དགོས་རེད་ད་ཡ་ཡུད་ག་ཚོད་ག་ཚོད་ཁྱེར་ནས་འགྲོ་ན་ཡང་འདང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ཞིག་ཚོར་གི་འདུག་རཱ།
STT_NS_M0481_0137_1544406_to_1546960,ཨེ་ནས་རྒྱལ་ས་དེ་བ་ལ་ག་རེ་ལབ་དགོས་རེད།  ,e nas rgyal sa de ba la ga re lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0137_1544406_to_1546960.wav,STT_NS,3,39,2.554,wav16k/STT_NS_M0481_0137_1544406_to_1546960.wav,ཨེ་ནས་རྒྱལ་ས་དེ་བ་ལ་ག་ལབ་དགོས་རེད།
STT_NS_M0481_0138_1586134_to_1589411,ད་རྒྱལ་ས་རཱ། ད་ག་བྱེད་ཡ་ཡོད་མ་རེད་ད།  ,da rgyal sa rA/_da ga byed ya yod ma red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0138_1586134_to_1589411.wav,STT_NS,3,38,3.277,wav16k/STT_NS_M0481_0138_1586134_to_1589411.wav,ད་རྒྱལ་ས་རཱ་ད་གལ་བྱེད་ཡ་ཡོད་མ་རེད་ད།
STT_NS_M0481_0139_1594107_to_1596348,མང་ཆེ་བ་འདྲ་བོ་ཅིག་གོང་ཆུང་བ་གྲངས་ནང་ཚུད།  ,mang che ba 'dra bo cig gong chung ba grangs nang tshud/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0481_0139_1594107_to_1596348.wav,STT_NS,3,43,2.241,wav16k/STT_NS_M0481_0139_1594107_to_1596348.wav,མང་ཆེ་བ་འདྲ་བོ་ཅིག་གོང་ཆུང་བ་གྲངས་ན་ཚུར།
